,index,location,points,price,country,polarity
0,0,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",87,14.0,Italy,-0.2
1,1,"Cavallotto winery ,Barolo, Piedmont, Italy",97,150.0,Italy,3.96508223080413e-18
2,2,"Louis Latour winery ,Montrachet, Burgundy, France",96,630.0,France,0.26642857142857146
3,3,"Louis Latour winery ,Criots-Bâtard-Montrachet, Burgundy, France",95,380.0,France,0.2833333333333333
4,4,"Marchesi Antinori winery ,Bolgheri Superiore, Tuscany, Italy",98,102.0,Italy,0.25
5,5,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",97,220.0,Italy,0.10740740740740741
6,6,"Tenuta dell'Ornellaia winery ,Bolgheri Superiore, Tuscany, Italy",97,215.0,Italy,0.21388888888888888
7,7,"Château Trotanoy winery ,Pomerol, Bordeaux, France",96,400.0,France,0.1875
8,8,"Cavallotto winery ,Barolo, Piedmont, Italy",92,,Italy,-0.0125
9,9,"Joseph Drouhin winery ,Charmes-Chambertin, Burgundy, France",95,164.0,France,-0.13333333333333333
10,10,"Chanson Père et Fils winery ,Charmes-Chambertin, Burgundy, France",94,190.0,France,0.09999999999999999
11,11,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",97,,France,0.4130952380952381
12,12,"Wayfarer winery ,Fort Ross-Seaview, California, US",98,155.0,US,0.22023809523809526
13,13,"Wayfarer winery ,Fort Ross-Seaview, California, US",97,115.0,US,0.13113553113553114
14,14,"Wayfarer winery ,Fort Ross-Seaview, California, US",96,115.0,US,0.39866071428571426
15,15,"Wayfarer winery ,Fort Ross-Seaview, California, US",96,115.0,US,0.09772727272727273
16,16,"Château Pierre-Bise winery ,Quarts de Chaume, Loire Valley, France",95,60.0,France,0.34500000000000003
17,17,"Wayfarer winery ,Fort Ross-Seaview, California, US",95,90.0,US,0.1571428571428571
18,18,"COS winery ,Vittoria, Sicily & Sardinia, Italy",95,30.0,Italy,-0.008333333333333331
19,19,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",90,70.0,France,0.21927272727272723
20,20,"Domaine Leflaive winery ,Bâtard-Montrachet, Burgundy, France",97,430.0,France,0.22357142857142853
21,21,"Domaine Leflaive winery ,Chevalier-Montrachet, Burgundy, France",97,550.0,France,0.29357142857142854
22,22,"Copain Wines winery ,Anderson Valley, California, US",95,50.0,US,0.15666666666666665
23,23,"Copain Wines winery ,Anderson Valley, California, US",95,50.0,US,0.2234848484848485
24,24,"Château Trotanoy winery ,Pomerol, Bordeaux, France",96,475.0,France,0.13749999999999998
25,25,"Le Dôme winery ,Saint-Émilion, Bordeaux, France",95,235.0,France,0.05238095238095238
26,26,"Gaja winery ,Langhe, Piedmont, Italy",93,500.0,Italy,0.12222222222222223
27,27,"Joseph Drouhin winery ,Grands-Echezeaux, Burgundy, France",94,285.0,France,0.19166666666666665
28,28,"Kendall-Jackson winery ,Knights Valley, California, US",92,75.0,US,0.03939393939393939
29,29,"Avignonesi winery ,Vin Santo di Montepulciano, Tuscany, Italy",100,210.0,Italy,-0.01111111111111112
30,30,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",92,99.0,Italy,0.11282051282051284
31,31,"Portfolio winery ,Napa Valley, California, US",95,145.0,US,0.33571428571428574
32,32,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",95,75.0,France,-0.010714285714285723
33,33,"Herman Story winery ,California, California, US",95,47.0,US,0.3833333333333333
34,34,"Julien Schaal winery ,Alsace, Alsace, France",96,45.0,France,0.29285714285714287
35,35,"Julien Schaal winery ,Alsace, Alsace, France",95,25.0,France,0.24122023809523807
36,36,"Paix Sur Terre winery ,North Coast, California, US",95,52.0,US,0.021666666666666674
37,37,"Julien Schaal winery ,Alsace, Alsace, France",95,35.0,France,0.30208333333333337
38,38,"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",95,460.0,Italy,0.29120370370370374
39,39,"Dolce winery ,Napa Valley, California, US",93,75.0,US,0.45095238095238094
40,40,"Chanson Père et Fils winery ,Chambertin Clos de Bèze, Burgundy, France",95,300.0,France,0.21666666666666665
41,41,"Domaine Faiveley winery ,Corton-Rognet, Burgundy, France",95,225.0,France,0.234375
42,42,"Alex Gambal winery ,Clos de Vougeot, Burgundy, France",95,180.0,France,0.10497354497354497
43,43,"Domaine Chanson winery ,Corton Vergennes, Burgundy, France",95,187.0,France,0.29928571428571427
44,44,"Domaine Rossignol-Trapet winery ,Chapelle-Chambertin, Burgundy, France",95,170.0,France,-0.018750000000000003
45,45,"Louis Latour winery ,Montrachet, Burgundy, France",95,520.0,France,0.31428571428571433
46,46,"Alex Gambal winery ,Latricières-Chambertin, Burgundy, France",95,200.0,France,-0.043333333333333335
47,47,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,105.0,Italy,0.003057359307359297
48,48,"Château Trotanoy winery ,Pomerol, Bordeaux, France",94,,France,0.5388888888888889
49,49,"Spottswoode winery ,St. Helena, California, US",95,165.0,US,0.20606060606060608
50,50,"Il Colle winery ,Brunello di Montalcino, Tuscany, Italy",95,46.0,Italy,0.14583333333333334
51,51,"Wayfarer winery ,Fort Ross-Seaview, California, US",94,80.0,US,0.19444444444444445
52,52,"Château Pétrus winery ,Pomerol, Bordeaux, France",96,2500.0,France,0.34074074074074073
53,53,"Ken Wright winery ,Ribbon Ridge, Oregon, US",96,63.0,US,0.41041666666666665
54,54,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",96,110.0,France,0.10136054421768707
55,55,"Le Dôme winery ,Saint-Émilion, Bordeaux, France",96,175.0,France,0.04166666666666666
56,56,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",97,,France,0.4840909090909091
57,57,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",95,,France,0.15777777777777777
58,58,"Hors Categorie winery ,Walla Walla Valley (OR), Oregon, US",96,240.0,US,0.2885281385281385
59,59,"Sbragia winery ,Sonoma Valley, California, US",92,50.0,US,0.16691919191919194
60,60,"Domaine des Croix winery ,Corton, Burgundy, France",94,129.0,France,0.3892857142857143
61,61,"Salon winery ,Champagne, Champagne, France",93,200.0,France,-0.049851190476190486
62,62,"Verité winery ,Sonoma County, California, US",85,100.0,US,-0.20944444444444446
63,63,"Salon winery ,Champagne, Champagne, France",97,350.0,France,0.375
64,64,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",92,,France,0.20833333333333334
65,65,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",97,325.0,Italy,0.19749999999999998
66,66,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",96,105.0,France,0.3408333333333334
67,67,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",95,105.0,Italy,0.27499999999999997
68,68,"Domaine Dujac winery ,Clos de la Roche, Burgundy, France",96,304.0,France,0.19249999999999998
69,69,"Domaine Jacques Prieur winery ,Musigny, Burgundy, France",96,510.0,France,0.22604166666666667
70,70,"Domaine Jacques Prieur winery ,Echézeaux, Burgundy, France",95,370.0,France,0.13537414965986397
71,71,"Louis Latour winery ,Montrachet, Burgundy, France",95,440.0,France,0.28666666666666674
72,72,"Domaine Jacques Prieur winery ,Chambertin, Burgundy, France",95,360.0,France,0.22777777777777775
73,73,"Domaine Dujac winery ,Clos Saint-Denis, Burgundy, France",95,304.0,France,0.10694444444444447
74,74,"Wayfarer winery ,Fort Ross-Seaview, California, US",93,125.0,US,0.03888888888888889
75,75,"Domaine Rossignol-Trapet winery ,Chambertin, Burgundy, France",96,240.0,France,0.37083333333333335
76,76,"Bouchard Père & Fils winery ,Chevalier-Montrachet, Burgundy, France",96,315.0,France,0.34375
77,77,"Casanova di Neri winery ,Brunello di Montalcino, Tuscany, Italy",95,50.0,Italy,0.16145833333333334
78,78,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,99.0,Italy,0.13647619047619047
79,79,"Yao Ming winery ,Napa Valley, California, US",94,625.0,US,0.360625
80,80,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",98,235.0,Italy,0.258974358974359
81,81,"Cerbaiona winery ,Brunello di Montalcino, Tuscany, Italy",95,,Italy,0.4406060606060606
82,82,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,325.0,Italy,0.20833333333333334
83,83,"Louis Jadot winery ,Bâtard-Montrachet, Burgundy, France",98,367.0,France,0.23839285714285713
84,84,"Louis Jadot winery ,Corton-Charlemagne, Burgundy, France",97,184.0,France,0.2
85,85,"Louis Jadot winery ,Clos de la Roche, Burgundy, France",97,286.0,France,0.10595238095238095
86,86,"Louis Jadot winery ,Corton-Pougets, Burgundy, France",96,116.0,France,0.18214285714285713
87,87,"Louis Jadot winery ,Echézeaux, Burgundy, France",96,231.0,France,0.1527777777777778
88,88,"Il Colle winery ,Brunello di Montalcino, Tuscany, Italy",96,45.0,Italy,0.15363636363636363
89,89,"Louis Jadot winery ,Chambertin Clos de Bèze, Burgundy, France",96,474.0,France,0.225
90,90,"Louis Jadot winery ,Chapelle-Chambertin, Burgundy, France",95,286.0,France,0.058333333333333334
91,91,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",94,227.0,Italy,0.5
92,92,"Le Dôme winery ,Saint-Émilion, Bordeaux, France",94,155.0,France,0.02619047619047619
93,93,"Château Trotanoy winery ,Pomerol, Bordeaux, France",94,250.0,France,-0.16333333333333333
94,94,"Olivier Leflaive winery ,Montrachet, Burgundy, France",97,886.0,France,0.18611111111111112
95,95,"Horsepower winery ,Walla Walla Valley (WA), Washington, US",96,120.0,US,0.013888888888888893
96,96,"Roche de Bellene winery ,Charmes-Chambertin, Burgundy, France",96,330.0,France,0.06203703703703705
97,97,"Roche de Bellene winery ,Corton, Burgundy, France",95,142.0,France,0.39
98,98,"Horsepower winery ,Walla Walla Valley (WA), Washington, US",95,120.0,US,-0.12291666666666669
99,99,"Olivier Leflaive winery ,Bâtard-Montrachet, Burgundy, France",95,569.0,France,0.5166666666666666
100,100,"Roche de Bellene winery ,Echézeaux, Burgundy, France",95,330.0,France,-0.03437499999999999
101,101,"Roche de Bellene winery ,Clos Saint-Denis, Burgundy, France",95,330.0,France,0.06481481481481481
102,102,"Olivier Leflaive winery ,Chevalier-Montrachet, Burgundy, France",95,710.0,France,0.029166666666666674
103,103,"Cavallotto winery ,Barolo, Piedmont, Italy",91,98.0,Italy,0.054761904761904755
104,104,"Résonance winery ,McMinnville, Oregon, US",95,50.0,US,0.275
105,105,"Big Basin winery ,Ben Lomond Mountain, California, US",95,48.0,US,0.22537878787878787
106,106,"Sbragia winery ,Sonoma Valley, California, US",95,50.0,US,0.07163299663299663
107,107,"Principe Corsini Fattoria Le Corti winery ,Vin Santo del Chianti Classico, Tuscany, Italy",97,,Italy,0.37222222222222223
108,108,"Louis Jadot winery ,Chambolle-Musigny, Burgundy, France",95,95.0,France,0.30277777777777776
109,109,"Chanson Père et Fils winery ,Chambertin Clos de Bèze, Burgundy, France",95,,France,0.27690476190476193
110,110,"Cantina Bartolo Mascarello winery ,Barolo, Piedmont, Italy",95,,Italy,0.3375
111,111,"Sbragia winery ,Sonoma Valley, California, US",95,50.0,US,0.07163299663299663
112,112,"Tenuta San Guido winery ,Bolgheri Sassicaia, Tuscany, Italy",99,235.0,Italy,0.31428571428571433
113,113,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",97,325.0,Italy,0.21000000000000002
114,114,"Patrick Javillier winery ,Corton-Charlemagne, Burgundy, France",95,,France,0.3966666666666666
115,115,"Girard winery ,Diamond Mountain District, California, US",95,75.0,US,0.17
116,116,"Salon winery ,Champagne, Champagne, France",98,520.0,France,0.27380952380952384
117,117,"Casanova di Neri winery ,Brunello di Montalcino, Tuscany, Italy",93,70.0,Italy,0.0746212121212121
118,118,"Yao Ming winery ,Napa Valley, California, US",98,625.0,US,0.06353305785123968
119,119,"Yao Ming winery ,Napa Valley, California, US",95,150.0,US,-0.019999999999999993
120,120,"Hall winery ,Rutherford, California, US",95,200.0,US,0.2516233766233766
121,121,"Holus Bolus winery ,Sta. Rita Hills, California, US",95,32.0,US,0.2916666666666667
122,122,"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",100,460.0,Italy,0.37172619047619054
123,123,"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",97,460.0,Italy,0.25
124,124,"Tenuta dell'Ornellaia winery ,Toscana, Tuscany, Italy",95,460.0,Italy,0.29120370370370374
125,125,"Château Climens winery ,Barsac, Bordeaux, France",91,40.0,France,0.3125
126,126,"Dolce winery ,Napa Valley, California, US",98,85.0,US,0.3288690476190476
127,127,"Araujo winery ,Napa Valley, California, US",98,275.0,US,0.3954545454545455
128,128,"Donelan winery ,Sonoma Valley, California, US",97,90.0,US,0.22307692307692312
129,129,"Macauley winery ,Alexander Valley, California, US",96,45.0,US,0.4305555555555556
130,130,"Hall winery ,Rutherford, California, US",96,165.0,US,0.2968253968253969
131,131,"Staglin winery ,Napa Valley, California, US",96,250.0,US,0.30444444444444446
132,132,"Portfolio winery ,Napa Valley, California, US",87,125.0,US,0.13181818181818183
133,133,"Hoopes winery ,Oakville, California, US",95,75.0,US,0.24791666666666665
134,134,"Venge winery ,Calistoga, California, US",95,105.0,US,-0.020833333333333325
135,135,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",95,105.0,Italy,0.035119047619047626
136,136,"Marchesi Antinori winery ,Toscana, Tuscany, Italy",94,325.0,Italy,-0.18238095238095237
137,137,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",99,595.0,Italy,0.14930555555555555
138,138,"Louis Jadot winery ,Chevalier-Montrachet, Burgundy, France",97,476.0,France,0.30370370370370364
139,139,"Louis Jadot winery ,Bâtard-Montrachet, Burgundy, France",96,370.0,France,0.4571428571428572
140,140,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",99,175.0,Italy,0.325
141,141,"Domaine Vacheron winery ,Vin de France, France Other, France",96,,France,-0.015833333333333338
142,142,"Cardinale winery ,Napa Valley, California, US",100,200.0,US,0.3590277777777778
143,143,"Tenuta dell'Ornellaia winery ,Bolgheri Superiore, Tuscany, Italy",97,200.0,Italy,0.312962962962963
144,144,"Paul Lato winery ,Sta. Rita Hills, California, US",95,70.0,US,0.33229166666666665
145,145,"Château Climens winery ,Barsac, Bordeaux, France",98,70.0,France,0.375
146,146,"Portfolio winery ,Napa Valley, California, US",96,155.0,US,0.0972222222222222
147,147,"Dolce winery ,Napa Valley, California, US",96,85.0,US,0.275
148,148,"Wayfarer winery ,Fort Ross-Seaview, California, US",97,150.0,US,0.1891666666666667
149,149,"Milziade Antano winery ,Montefalco Sagrantino, Central Italy, Italy",96,80.0,Italy,0.13452380952380952
150,150,"Wayfarer winery ,Fort Ross-Seaview, California, US",96,115.0,US,0.06874999999999999
151,151,"Wayfarer winery ,Fort Ross-Seaview, California, US",95,115.0,US,0.020833333333333336
152,152,"Milziade Antano winery ,Montefalco Sagrantino, Central Italy, Italy",95,50.0,Italy,0.009523809523809514
153,153,"Bruno Giacosa winery ,Barbaresco, Piedmont, Italy",95,200.0,Italy,0.296969696969697
154,154,"Mascarello Giuseppe e Figlio winery ,Barolo, Piedmont, Italy",94,125.0,Italy,0.04682539682539682
155,155,"Domaine des Lambrays winery ,Clos de Lambrays, Burgundy, France",98,,France,0.34693877551020413
156,156,"Louis Jadot winery ,Charmes-Chambertin, Burgundy, France",98,134.0,France,-0.05952380952380952
157,157,"Clos de Tart winery ,Clos de Tart, Burgundy, France",98,319.0,France,0.29999999999999993
158,158,"Louis Jadot winery ,Clos de la Roche, Burgundy, France",98,138.0,France,0.0
159,159,"Louis Jadot winery ,Corton-Pougets, Burgundy, France",97,95.0,France,0.35
160,160,"Domaine de l'Arlot winery ,Romanée-St.-Vivant, Burgundy, France",95,,France,0.24333333333333335
161,161,"Louis Jadot winery ,Chambolle-Musigny, Burgundy, France",95,90.0,France,0.55
162,162,"Gaja winery ,Langhe, Piedmont, Italy",92,500.0,Italy,0.013690476190476197
163,163,"Kendall-Jackson winery ,Knights Valley, California, US",97,125.0,US,0.31190476190476196
164,164,"Hartford Court winery ,Green Valley, California, US",95,60.0,US,0.06785714285714285
165,165,"Cavallotto winery ,Barolo, Piedmont, Italy",91,98.0,Italy,0.054761904761904755
166,166,"Harlan Estate winery ,Napa Valley, California, US",97,150.0,US,0.1426666666666667
167,167,"Domaine Leflaive winery ,Chevalier-Montrachet, Burgundy, France",97,574.0,France,-0.08809523809523812
168,168,"Domaine Leflaive winery ,Bâtard-Montrachet, Burgundy, France",97,451.0,France,0.2738095238095238
169,169,"Harlan Estate winery ,Napa Valley, California, US",95,450.0,US,0.22750000000000004
170,170,"Olivier Leflaive winery ,Bâtard-Montrachet, Burgundy, France",95,310.0,France,0.3238095238095238
173,173,"Faiveley winery ,Corton, Burgundy, France",95,195.0,France,0.17047619047619048
174,174,"Alex Gambal winery ,Charmes-Chambertin, Burgundy, France",95,200.0,France,-0.10499999999999998
175,175,"Wayfarer winery ,Fort Ross-Seaview, California, US",95,80.0,US,0.25555555555555554
176,176,"Domaine Méo-Camuzet winery ,Clos de Vougeot, Burgundy, France",95,307.0,France,0.028125
177,177,"Wayfarer winery ,Fort Ross-Seaview, California, US",94,115.0,US,0.2125
178,178,"Wayfarer winery ,Fort Ross-Seaview, California, US",94,90.0,US,0.30833333333333335
179,179,"Wayfarer winery ,Fort Ross-Seaview, California, US",98,80.0,US,0.02812499999999999
180,180,"Domaine des Lambrays winery ,Clos de Lambrays, Burgundy, France",96,215.0,France,0.2547619047619048
182,182,"Domaine Faiveley winery ,Bienvenues Bâtard-Montrachet, Burgundy, France",96,476.0,France,0.2375
183,183,"Albert Bichot winery ,Grands-Echezeaux, Burgundy, France",95,385.0,France,-0.011904761904761902
184,184,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",100,150.0,France,0.2316666666666667
185,185,"Paul Hobbs winery ,Oakville, California, US",96,275.0,US,0.1774242424242424
186,186,"Château Climens winery ,Barsac, Bordeaux, France",96,126.0,France,0.3433333333333333
187,187,"Schramsberg winery ,Napa-Monterey-Mendocino, California, US",96,200.0,US,0.595
188,188,"Casanova di Neri winery ,Brunello di Montalcino, Tuscany, Italy",93,80.0,Italy,0.033673469387755096
189,189,"Arcadian winery ,Santa Maria Valley, California, US",95,50.0,US,0.19999999999999998
190,190,"L'Aietta winery ,Brunello di Montalcino, Tuscany, Italy",95,75.0,Italy,0.26011904761904764
191,191,"Moulin Touchais winery ,Coteaux du Layon, Loire Valley, France",95,64.0,France,0.07
192,192,"Moulin Touchais winery ,Coteaux du Layon, Loire Valley, France",95,55.0,France,0.2816666666666667
193,193,"Gaja winery ,Langhe, Piedmont, Italy",99,440.0,Italy,0.1724025974025974
194,194,"Gaja winery ,Langhe, Piedmont, Italy",99,440.0,Italy,0.5
195,195,"Gaja winery ,Langhe, Piedmont, Italy",98,255.0,Italy,0.275
196,196,"Louis Latour winery ,Chevalier-Montrachet, Burgundy, France",93,380.0,France,0.2672727272727273
197,197,"Domaine Faiveley winery ,Echézeaux, Burgundy, France",93,226.0,France,0.26809523809523805
198,198,"Louis Jadot winery ,Clos de Vougeot, Burgundy, France",95,196.0,France,0.31805555555555554
199,199,"Alex Gambal winery ,Charmes-Chambertin, Burgundy, France",95,,France,0.12685185185185188
200,200,"David Duband winery ,Latricières-Chambertin, Burgundy, France",95,270.0,France,0.337037037037037
201,201,"Château Pétrus winery ,Pomerol, Bordeaux, France",97,,France,0.5625
202,202,"Château Trotanoy winery ,Pomerol, Bordeaux, France",95,,France,0.265
203,203,"Roche de Bellene winery ,Charmes-Chambertin, Burgundy, France",94,262.0,France,0.10462962962962963
204,204,"Château Pétrus winery ,Pomerol, Bordeaux, France",97,2000.0,France,0.19285714285714287
205,205,"Laird winery ,Yountville, California, US",96,105.0,US,0.225
206,206,"Roche de Bellene winery ,Bonnes-Mares, Burgundy, France",96,480.0,France,0.16166666666666668
207,207,"Roche de Bellene winery ,Chambertin, Burgundy, France",96,496.0,France,0.18425925925925926
208,208,"Roche de Bellene winery ,Clos de la Roche, Burgundy, France",95,295.0,France,0.11845238095238095
209,209,"Roche de Bellene winery ,Echézeaux, Burgundy, France",95,262.0,France,0.07250000000000001
210,210,"Château Léoville Barton winery ,Saint-Julien, Bordeaux, France",96,90.0,France,0.1425925925925926
211,211,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",92,,France,0.24375
212,212,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",94,75.0,France,0.17213203463203464
213,213,"Harlan Estate winery ,Napa Valley, California, US",93,150.0,US,0.07982093663911845
214,214,"Lewis winery ,Napa Valley, California, US",96,60.0,US,0.10681818181818183
215,215,"Cardinale winery ,Mount Veeder, California, US",95,125.0,US,0.3541666666666667
216,216,"Château Pontet-Canet winery ,Pauillac, Bordeaux, France",94,,France,0.25
217,217,"Moulin Touchais winery ,Coteaux du Layon, Loire Valley, France",91,60.0,France,0.1878571428571429
218,218,"Cavallotto winery ,Barolo, Piedmont, Italy",93,156.0,Italy,-0.12380952380952383
